gender,age,qx
M,0,0.004602
M,1,0.000247
M,2,0.000177
M,3,0.000115
M,4,0.0001
M,5,0.000097
M,6,0.00008
M,7,0.00008
M,8,0.000079
M,9,0.000091
M,10,0.00007
M,11,0.000095
M,12,0.000096
M,13,0.000115
M,14,0.000139
M,15,0.000173
M,16,0.000257
M,17,0.000288
M,18,0.000438
M,19,0.000493
M,20,0.000457
M,21,0.000509
M,22,0.000519
M,23,0.000553
M,24,0.000536
M,25,0.00054
M,26,0.000642
M,27,0.0006
M,28,0.000679
M,29,0.000737
M,30,0.000769
M,31,0.000847
M,32,0.00088
M,33,0.000949
M,34,0.001032
M,35,0.00111
M,36,0.001233
M,37,0.001305
M,38,0.00137
M,39,0.001517
M,40,0.001681
M,41,0.001808
M,42,0.00189
M,43,0.002074
M,44,0.002164
M,45,0.002433
M,46,0.002615
M,47,0.002839
M,48,0.003057
M,49,0.003387
M,50,0.003711
M,51,0.004011
M,52,0.004278
M,53,0.004552
M,54,0.004928
M,55,0.00532
M,56,0.00574
M,57,0.006253
M,58,0.006728
M,59,0.007236
M,60,0.007761
M,61,0.008556
M,62,0.009292
M,63,0.010033
M,64,0.011172
M,65,0.011976
M,66,0.013404
M,67,0.014795
M,68,0.01628
M,69,0.017595
M,70,0.019527
M,71,0.021506
M,72,0.023614
M,73,0.025473
M,74,0.027789
M,75,0.030319
M,76,0.033748
M,77,0.037142
M,78,0.042361
M,79,0.046881
M,80,0.052665
M,81,0.059666
M,82,0.067996
M,83,0.075244
M,84,0.084093
M,85,0.093857
M,86,0.105364
M,87,0.117996
M,88,0.133099
M,89,0.149453
M,90,0.166653
M,91,0.184008
M,92,0.20582
M,93,0.225915
M,94,0.248779
M,95,0.271233
M,96,0.29336
M,97,0.322686
M,98,0.34123
M,99,0.365042
M,100,0.402489
M,101,0.423410632
M,102,0.444332263
M,103,0.465253895
M,104,0.486175526
M,105,0.507097158
M,106,0.528018789
M,107,0.548940421
M,108,0.569862053
M,109,0.590783684
M,110,0.611705316
M,111,0.632626947
M,112,0.653548579
M,113,0.674470211
M,114,0.695391842
M,115,0.716313474
M,116,0.737235105
M,117,0.758156737
M,118,0.779078368
M,119,0.78457
M,120,0.8
F,0,0.003631
F,1,0.000206
F,2,0.000137
F,3,0.000099
F,4,0.000081
F,5,0.00007
F,6,0.000075
F,7,0.000062
F,8,0.000061
F,9,0.00006
F,10,0.000076
F,11,0.000062
F,12,0.000066
F,13,0.000094
F,14,0.000101
F,15,0.000117
F,16,0.000117
F,17,0.000169
F,18,0.000192
F,19,0.000198
F,20,0.000222
F,21,0.000224
F,22,0.000218
F,23,0.000232
F,24,0.000251
F,25,0.000236
F,26,0.00025
F,27,0.000303
F,28,0.000303
F,29,0.000339
F,30,0.000371
F,31,0.000393
F,32,0.000454
F,33,0.000488
F,34,0.000508
F,35,0.000628
F,36,0.000637
F,37,0.000717
F,38,0.00079
F,39,0.000906
F,40,0.000961
F,41,0.001065
F,42,0.001184
F,43,0.001208
F,44,0.001366
F,45,0.001385
F,46,0.001553
F,47,0.001777
F,48,0.001911
F,49,0.002106
F,50,0.002364
F,51,0.002537
F,52,0.002637
F,53,0.002833
F,54,0.003108
F,55,0.003371
F,56,0.003709
F,57,0.004067
F,58,0.004308
F,59,0.004626
F,60,0.005019
F,61,0.005434
F,62,0.006069
F,63,0.006708
F,64,0.007322
F,65,0.007943
F,66,0.008952
F,67,0.009871
F,68,0.010777
F,69,0.01166
F,70,0.012715
F,71,0.013834
F,72,0.015504
F,73,0.017044
F,74,0.018775
F,75,0.021032
F,76,0.023225
F,77,0.026162
F,78,0.029884
F,79,0.033517
F,80,0.037938
F,81,0.043558
F,82,0.049426
F,83,0.056003
F,84,0.06301
F,85,0.070716
F,86,0.080642
F,87,0.090984
F,88,0.10333
F,89,0.116862
F,90,0.134302
F,91,0.152124
F,92,0.170029
F,93,0.188651
F,94,0.207374
F,95,0.227361
F,96,0.2496
F,97,0.272316
F,98,0.298092
F,99,0.317194
F,100,0.349105
F,101,0.367573158
F,102,0.386041316
F,103,0.404509474
F,104,0.422977632
F,105,0.441445789
F,106,0.459913947
F,107,0.478382105
F,108,0.496850263
F,109,0.515318421
F,110,0.533786579
F,111,0.552254737
F,112,0.570722895
F,113,0.589191053
F,114,0.607659211
F,115,0.626127368
F,116,0.644595526
F,117,0.663063684
F,118,0.681531842
F,119,0.691531842
F,120,0.7
