observation_year,policy_id,age,term,currency_gbp,currency_non_gbp,equity,property,bonds,cash,sum_assured,premium,weight,gender,smoker_status,product_type,issue_year,distribution_channel,region,policy_status,event_type,exit_year,payment_method,annual_income_band,policy_duration,missed_payments_last_12m,customer_tenure,fund_value
2026,POL000003,75,39,25184.464529614743,2562.535470385257,3356.842356752473,849.2062236122138,19834.04882717442,3706.9025924608904,27747,646.13,1.0,Female,Non-Smoker,Term,2013,IFA,Midlands,ACTIVE,,,Direct Debit,<20k,14,0,14,0.0
2026,POL000005,52,30,375930.47605789045,53372.52394210955,59026.474017259454,9830.321641486722,327717.6821482648,32728.52219298907,429303,6166.28,1.0,Male,Non-Smoker,Whole Life,2001,IFA,South,ACTIVE,,,Direct Debit,40k-60k,26,0,26,84773.42
2026,POL000012,88,35,201093.76978862297,60798.23021137703,19461.65362455767,10877.579940357266,195402.6822926448,36150.08414244026,261892,4061.49,1.0,Female,Smoker,Term,2001,Direct,North,ACTIVE,,,Direct Debit,20k-40k,26,0,26,0.0
2026,POL000015,70,39,174739.04322262158,44100.95677737842,66227.92708198505,14232.995353895378,98402.45612720569,39976.621436913876,218840,5316.41,1.0,Male,Non-Smoker,Term,2008,IFA,Scotland,ACTIVE,,,Direct Debit,40k-60k,19,0,19,0.0
2026,POL000020,46,38,816570.1163203396,51225.88367966039,64350.38266671697,298288.21386369056,457027.6189971152,48129.78447247733,867796,32249.87,1.0,Male,Non-Smoker,Whole Life,2002,Aggregator,Wales,ACTIVE,,,Bank Transfer,100k+,25,0,25,324101.13
2026,POL000023,44,25,879078.7026289846,31625.29737101542,178605.37070758882,78790.0810913263,616631.6507324649,36676.89746861998,910704,19779.87,1.0,Female,Non-Smoker,Term,2010,IFA,Wales,ACTIVE,,,Direct Debit,60k-100k,17,3,17,0.0
2026,POL000032,57,34,917033.4860719852,55832.513928014785,10645.427230071793,232423.4015725838,537338.7025317346,192458.46866560983,972866,33867.84,1.0,Female,Non-Smoker,Term,2002,Direct,London,ACTIVE,,,Direct Debit,100k+,25,0,25,0.0
2026,POL000034,67,28,212640.93868313672,78498.06131686328,14908.25071595082,29751.369344088664,191192.54588996773,55286.834049992816,291139,8342.09,1.0,Male,Non-Smoker,Term,2008,Direct,Wales,ACTIVE,,,Direct Debit,20k-40k,19,2,19,0.0
2026,POL000043,61,37,165415.0927737483,12379.9072262517,7047.726349100109,6359.233049042878,133855.09215034737,30532.94845150964,177795,3960.05,1.0,Female,Smoker,Whole Life,2001,Aggregator,South,ACTIVE,,,Direct Debit,20k-40k,26,0,26,40656.65
2026,POL000044,67,37,153517.373159073,5830.626840926998,1119.625970725024,957.8108183101787,116798.44991521903,40472.11329574576,159348,5298.23,1.0,Male,Non-Smoker,Endowment,1993,Aggregator,London,ACTIVE,,,Direct Debit,40k-60k,34,0,34,66082.51
2026,POL000047,53,27,67519.93201169207,1962.0679883079283,17166.46197882341,1762.850820975864,47315.27848530194,3237.408714898782,69482,1407.55,1.0,Female,Non-Smoker,Whole Life,2012,Aggregator,London,ACTIVE,,,Bank Transfer,<20k,15,3,15,15314.18
2026,POL000049,52,14,108664.72986180727,9731.270138192733,9934.324458019913,6976.088966394259,82426.99442637576,19058.59214921006,118396,4751.04,1.0,Female,Non-Smoker,Endowment,2015,IFA,Wales,ACTIVE,,,Direct Debit,<20k,12,0,12,57082.34
2026,POL000050,76,39,1962632.2764142905,204444.72358570946,437844.0468009214,26400.11030677746,1312014.2839383942,390818.5589539069,2167077,51502.46,1.0,Male,Smoker,Endowment,2001,IFA,North,ACTIVE,,,Direct Debit,100k+,26,1,26,394429.77
2026,POL000051,47,38,119960.33553564665,16568.66446435335,21764.13869965486,22362.937628218864,77205.50241065239,15196.421261473879,136529,3259.66,1.0,Female,Non-Smoker,Term,2007,IFA,London,ACTIVE,,,Direct Debit,20k-40k,20,0,20,0.0
2026,POL000052,84,35,216708.29959790342,24910.700402096583,27287.903557324207,5959.725758797417,180336.40739211882,28034.963291759545,241619,5006.84,1.0,Female,Non-Smoker,Endowment,1995,IFA,London,ACTIVE,,,Direct Debit,20k-40k,32,0,32,56842.1
2026,POL000057,41,21,183991.36337709456,3139.63662290544,39251.5156209002,18234.996040619386,119874.25260277287,9770.235735707538,187131,6621.11,1.0,Male,Non-Smoker,Whole Life,2008,IFA,Scotland,ACTIVE,,,Direct Debit,40k-60k,19,0,19,61778.75
2026,POL000059,78,34,101194.21813767929,16123.781862320713,32149.934176739494,36111.536796998684,48290.602045896376,765.9269803654461,117318,2827.08,1.0,Female,Smoker,Endowment,2006,Aggregator,South,ACTIVE,,,Direct Debit,20k-40k,21,0,21,25864.79
2026,POL000069,41,32,86975.45746380591,14149.542536194087,18734.74718137763,40388.37306392088,35454.06554626419,6547.814208437296,101125,1830.28,1.0,Male,Non-Smoker,Term,2016,Aggregator,Wales,ACTIVE,,,Direct Debit,<20k,11,1,11,0.0
2026,POL000081,77,19,217230.833845152,4084.166154848004,17848.526911256442,54271.37999252387,136145.1790842447,13049.914011974994,221315,4054.54,1.0,Female,Non-Smoker,Term,2012,Aggregator,North,ACTIVE,,,Direct Debit,40k-60k,15,0,15,0.0
2026,POL000085,61,33,264081.85318623116,49142.146813768835,9776.011552995398,33977.26542509305,198993.73231734135,70476.99070457017,313224,5171.48,1.0,Female,Non-Smoker,Term,1995,IFA,Midlands,ACTIVE,,,Direct Debit,60k-100k,32,0,32,0.0
2026,POL000088,77,35,342557.5104877892,94028.48951221083,81106.66757555272,51463.39628899776,281568.55716493126,22447.378970518243,436586,15252.55,1.0,Male,Non-Smoker,Whole Life,1999,Direct,Midlands,ACTIVE,,,Direct Debit,40k-60k,28,0,28,202854.7
2026,POL000090,69,39,316708.45287599415,16966.547124005854,110068.8779454321,8221.840463632503,205944.47605075964,9439.80554017576,333675,11665.93,1.0,Male,Non-Smoker,Term,1996,Direct,Midlands,ACTIVE,,,Direct Debit,40k-60k,31,0,31,0.0
2026,POL000091,37,28,108441.28915315191,1788.7108468480874,29259.476679824253,13667.184335413744,56942.20801339381,10361.130971368206,110230,3168.55,1.0,Male,Non-Smoker,Whole Life,2017,Aggregator,Wales,ACTIVE,,,Bank Transfer,<20k,10,0,10,31045.67
2026,POL000092,65,36,188309.79092383778,13847.209076162224,10921.377750193133,111.09977145225217,150351.648300012,40772.87417834264,202157,3830.63,1.0,Female,Non-Smoker,Term,1997,Direct,Scotland,ACTIVE,,,Direct Debit,20k-40k,30,0,30,0.0
2026,POL000093,77,23,373116.68536881945,37793.31463118055,94965.32117368122,80900.7594109194,225083.18058047257,9960.7388349268,410910,12422.5,1.0,Female,Smoker,Term,2005,Aggregator,Scotland,ACTIVE,,,Direct Debit,40k-60k,22,0,22,0.0
2026,POL000104,67,26,400230.40993148414,7363.590068515856,140368.99646176936,21644.485920302046,233886.59390533337,11693.92371259525,407594,16298.06,1.0,Female,Non-Smoker,Whole Life,2004,Direct,Scotland,ACTIVE,,,Credit Card,40k-60k,23,0,23,119777.7
2026,POL000105,45,28,31213.62072801951,2606.3792719804915,5822.429793164469,461.5874522853433,26130.077648556857,1405.90510599333,33820,1119.03,1.0,Female,Non-Smoker,Term,2008,IFA,North,ACTIVE,,,Bank Transfer,<20k,19,0,19,0.0
2026,POL000106,88,39,121365.08740195828,19784.912598041716,10810.878883382311,4220.086279235831,124014.23098090554,2104.803856476312,141150,2037.34,1.0,Female,Non-Smoker,Term,1993,IFA,South,ACTIVE,,,Direct Debit,20k-40k,34,3,34,0.0
2026,POL000109,69,23,605279.0378434595,18780.96215654048,157104.2694107258,37633.11660823987,262889.51137531654,166433.10260571778,624060,9017.48,1.0,Male,Non-Smoker,Term,2006,Direct,North,ACTIVE,,,Direct Debit,60k-100k,21,0,21,0.0
2026,POL000118,84,28,259156.31659846843,11997.683401531569,39629.25044958634,55374.30156667745,142511.07296453588,33639.37501920032,271154,4813.1,1.0,Male,Non-Smoker,Endowment,2002,IFA,North,ACTIVE,,,Direct Debit,20k-40k,25,0,25,54333.88
2026,POL000119,58,39,366468.5019885587,8084.498011441319,124101.59349856919,57118.19715563845,187462.57461835118,5870.634727441182,374553,9719.73,1.0,Male,Non-Smoker,Whole Life,1993,Aggregator,South,ACTIVE,,,Direct Debit,60k-100k,34,0,34,112447.74
2026,POL000121,56,39,423616.37570469343,8462.624295306567,77312.520458487,9560.490193919984,345132.04099291447,73.94835467857774,432079,7049.2,1.0,Male,Non-Smoker,Endowment,2014,IFA,Wales,ACTIVE,,,Direct Debit,60k-100k,13,0,13,97356.83
2026,POL000123,52,21,702310.1549879086,28472.84501209145,111064.96826264515,16653.376204394925,452311.47660518467,150753.17892777518,730783,23100.28,1.0,Female,Non-Smoker,Term,2012,Direct,London,ACTIVE,,,Direct Debit,60k-100k,15,0,15,0.0
2026,POL000125,42,29,192875.03967269443,73741.96032730557,23365.879796293342,28537.388212418075,180856.01798055155,33857.71401073705,266617,9121.32,1.0,Female,Non-Smoker,Endowment,2015,Direct,Scotland,ACTIVE,,,Credit Card,20k-40k,12,0,12,105127.26
2026,POL000127,68,30,162055.44447915885,14329.555520841153,68216.03788848076,15210.991884334984,72053.04235569286,20904.927871491396,176385,6468.34,1.0,Male,Smoker,Term,2003,IFA,Midlands,ACTIVE,,,Bank Transfer,40k-60k,24,0,24,0.0
2026,POL000129,76,33,441714.956166616,35884.043833384,87412.75569883527,81317.31419277326,272423.49205680715,36445.43805158435,477599,12729.16,1.0,Female,Non-Smoker,Term,2006,Aggregator,London,ACTIVE,,,Direct Debit,40k-60k,21,0,21,0.0
2026,POL000131,63,35,98830.21249583601,22336.787504163993,56862.49291501949,2817.986413987807,58563.24769138584,2923.272979606867,121167,2103.62,1.0,Male,Non-Smoker,Term,1994,Direct,London,ACTIVE,,,Direct Debit,20k-40k,33,0,33,0.0
2026,POL000138,65,37,178632.6568515989,8707.343148401094,24407.07679461129,9169.747140371313,150165.8775171497,3597.2985478677147,187340,6179.27,1.0,Female,Non-Smoker,Term,1993,Aggregator,South,ACTIVE,,,Direct Debit,20k-40k,34,0,34,0.0
2026,POL000144,49,30,139074.29032619158,7560.709673808422,12823.85163707039,4948.722124397034,108523.85026041913,20338.575978113455,146635,3465.81,1.0,Male,Non-Smoker,Term,1998,IFA,North,ACTIVE,,,Bank Transfer,20k-40k,29,2,29,0.0
2026,POL000149,80,36,257029.52660485837,30082.473395141627,10799.577818546064,13231.382776061882,257090.35027700034,5990.689128391736,287112,10270.5,1.0,Female,Non-Smoker,Term,1996,Aggregator,London,ACTIVE,,,Bank Transfer,20k-40k,31,1,31,0.0
2026,POL000157,35,38,162951.02021215545,5795.979787844553,8192.065978468834,31320.444545343216,108747.28220582572,20487.20727036224,168747,5307.13,1.0,Male,Non-Smoker,Term,2015,IFA,South,ACTIVE,,,Direct Debit,20k-40k,12,0,12,0.0
2026,POL000167,84,35,1481012.860152502,104023.13984749792,600019.4830145532,120214.04749873755,627200.4611390561,237602.00834765309,1585036,50697.91,1.0,Female,Non-Smoker,Term,1998,IFA,North,ACTIVE,,,Bank Transfer,100k+,29,0,29,0.0
2026,POL000168,72,35,152292.98323348805,4144.016766511952,11082.65288143913,3487.834079819071,129771.99388687381,12094.519151867993,156437,3088.99,1.0,Male,Non-Smoker,Endowment,1994,IFA,London,ACTIVE,,,Credit Card,20k-40k,33,0,33,33013.95
2026,POL000177,56,39,248389.43097301625,19270.56902698375,96913.47840548522,5310.265405583995,119032.0886876827,46404.1675012481,267660,4470.4,1.0,Female,Non-Smoker,Whole Life,2009,IFA,London,ACTIVE,,,Direct Debit,20k-40k,18,0,18,54753.28
